,33101,,,ASJUV Juventus Academy Miami,,,301 SW 8th St Miami, FL 33130,,,https://www.fysa.com/clubs/asjuv-juventus-academy-miami/?Near=33101&Radius=250,
,33101,,,ASMBS City of Miami Beach Soccer,,,999 11th Street Miami Beach, FL 33139,,,https://www.fysa.com/clubs/asmbs-city-of-miami-beach-soccer/?Near=33101&Radius=250,
,33101,,,ASMBF Miami Breakers,,,2755 SW 37th Ave, Coral Way Miami, FL 33133,,,https://www.fysa.com/clubs/asmbf-miami-breakers/?Near=33101&Radius=250,
,33101,,,ASCGS Coral Gables Youth Center,,,405 University Drive Coral Gables, FL 33134,,,https://www.fysa.com/clubs/ascgs-coral-gables-youth-center/?Near=33101&Radius=250,
,33101,,,ASSHS Miami Shores Soccer Club,,,PO Box 530172 Miami Shores, FL 33153,,,https://www.fysa.com/clubs/asshs-miami-shores-soccer-club/?Near=33101&Radius=250,
,33101,,,ASKBA Key Biscayne SC,,,450 Cranton Blvd Key Biscayne, FL 33149,,,https://www.fysa.com/clubs/askba-key-biscayne-sc/?Near=33101&Radius=250,
,33101,,,ASMSS Miami Springs Soccer,,,6498 NW 38th Terrace Virginia Gardens, FL 33166,,,https://www.fysa.com/clubs/asmss-miami-springs-soccer/?Near=33101&Radius=250,
,33101,,,ASSPF Soccer Paradise,,,13100 NE 8th Avenue North Miami, FL 33161,,,https://www.fysa.com/clubs/asspf-soccer-paradise/?Near=33101&Radius=250,
,33101,,,ASTRP Tropical Soccer,,,7900 Bird Road Miami, FL 33155,,,https://www.fysa.com/clubs/astrp-tropical-soccer/?Near=33101&Radius=250,
,33101,,,ASSMF Strikers Miami FC,,,6808 SW 81 Terrace Miami, FL 33143,,,https://www.fysa.com/clubs/assmf-strikers-miami-fc/?Near=33101&Radius=250,
,33101,,,ASAMA Atletico de Madrid Academia Miami,,,8333 NW 53rd Street Doral, FL 33166,,,https://www.fysa.com/clubs/asama-atletico-de-madrid-academia-miami/?Near=33101&Radius=250,
,33101,,,ASCES Coral Estates S.C.,,,1405 SW 97 Ave Miami, FL 33174,,,https://www.fysa.com/clubs/asces-coral-estates-sc/?Near=33101&Radius=250,
,33101,,,ASBAM Barca Academy Pro Miami,,,PACE High School: 15600 NW 32nd Ave, Miami Gardens, FL 33054 Little Haiti Soccer Park: 6301 NE 2nd Ave, Miami, FL 33138,,,https://www.fysa.com/clubs/-asbam-barca-academy-pro-miami-/?Near=33101&Radius=250,
,33101,,,ASDSC Doral SC,,,5300 NW 102 Ave. Doral, FL 33178,,,https://www.fysa.com/clubs/asdsc-doral-sc/?Near=33101&Radius=250,
,33101,,,ASMPS Miami Premier Soccer,,,8200 SW 124 Street Pinecrest, FL 33156,,,https://www.fysa.com/clubs/asmps-miami-premier-soccer/?Near=33101&Radius=250,
,33101,,,ASNMM North Miami Maccabi,,,18900 NE 25th Avenue North Miami Beach, FL 33180,,,https://www.fysa.com/clubs/asnmm-north-miami-maccabi/?Near=33101&Radius=250,
,33101,,,ASPSC Pinecrest Premier Soccer, Inc.,,,13012 SW 85th Avenue Road Miami, FL 33156,,,https://www.fysa.com/clubs/aspsc-pinecrest-premier-soccer-inc/?Near=33101&Radius=250,
,33101,,,ASSKS South Kendall Sunblazer Soccer Club, Inc.,,,11035 SW 84 Street Miami, FL 33176,,,https://www.fysa.com/clubs/assks-south-kendall-sunblazer-soccer-club-inc/?Near=33101&Radius=250,
,33101,,,ASSBS SunBlazer Club Soccer,,,11035 SW 84 Street Miami, FL 33176,,,https://www.fysa.com/clubs/assbs-sunblazer-club-soccer/?Near=33101&Radius=250,
,33101,,,Miami Athletic Club,,,11011 SW 104th St Miami, FL 33176,,,https://www.fysa.com/clubs/miami-athletic-club/?Near=33101&Radius=250,
,33101,,,ASBST Brazilian Soccer Training,,,20300 NE 24th Avenue Aventura, FL 33180,,,https://www.fysa.com/clubs/asbst-brazilian-soccer-training/?Near=33101&Radius=250,
,33101,,,ASIVE Ives Estate,,,20901 NE 16th Ave Miami, FL 33179,,,https://www.fysa.com/clubs/asive-ives-estate/?Near=33101&Radius=250,
,33101,,,ASLKS Miami Lakes United Soccer Club,,,16500 NW 87th Avenue Miami Lakes, FL 33018,,,https://www.fysa.com/clubs/aslks-miami-lakes-united-soccer-club/?Near=33101&Radius=250,
,33101,,,Miami Rush Kendall SC,,,13350 SW 47 Street Miami, FL 33175,,,https://www.fysa.com/clubs/miami-rush-kendall-sc/?Near=33101&Radius=250,
,33101,,,ASHSC PSG Academy FL,,,8011 SW 127th Avenue Miami, FL 33183,,,https://www.fysa.com/clubs/ashsc-psg-academy-fl/?Near=33101&Radius=250,
,33101,,,ASWKO West Kendall Optimist,,,6125 SW 133rd Ave Miami, FL 33183,,,https://www.fysa.com/clubs/aswko-west-kendall-optimist/?Near=33101&Radius=250,
,33101,,,ASHBS City of Hallandale Beach,,,410 SE 3rd Street Hallandale Beach, FL 33009,,,https://www.fysa.com/clubs/ashbs-city-of-hallandale-beach/?Near=33101&Radius=250,
,33101,,,ASUYS South Dade United,,,12973 SW 112 St. #189 Miami, FL 33186,,,https://www.fysa.com/clubs/asuys-south-dade-united/?Near=33101&Radius=250,
,33101,,,ASPPO Pembroke Pines Optimist,,,7400 Pines Blvd Pembroke Pines, FL 33024,,,https://www.fysa.com/clubs/asppo-pembroke-pines-optimist/?Near=33101&Radius=250,
,33101,,,ASMSF Miami Strike Force,,,13450 SW 134 Ave. Suite 2B Miami, FL 33186,,,https://www.fysa.com/clubs/asmsf-miami-strike-force/?Near=33101&Radius=250,
,33101,,,ASDOC Driftwood Youth Sports Inc,,,6700 Garfield Street Hollywood, FL 33024,,,https://www.fysa.com/clubs/asdoc-driftwood-youth-sports-inc/?Near=33101&Radius=250,
